Feature,Coefficient,Odds_Ratio,Abs_Coefficient
cat__diag_2_group_Diabetes,0.07346201207671682,1.0762276522418508,0.07346201207671682
cat__troglitazone_No,0.07048374272503122,1.0730271247918954,0.07048374272503122
cat__payer_code_MC,0.06960224373714262,1.0720816692376929,0.06960224373714262
cat__payer_code_UN,0.06586342194899192,1.0680808308055922,0.06586342194899192
cat__medical_specialty_Emergency/Trauma,0.050424856393996804,1.0517178305153514,0.050424856393996804
cat__max_glu_serum_tested_Not Tested,0.04480577102004702,1.0458247107138536,0.04480577102004702
cat__medical_specialty_Radiologist,0.04253462062330297,1.0434521807132342,0.04253462062330297
cat__payer_code_CM,0.04243729430056095,1.0433506302913729,0.04243729430056095
cat__tolbutamide_No,0.0420242284752834,1.0429197467999667,0.0420242284752834
cat__miglitol_No,0.04099485968890834,1.04184675011531,0.04099485968890834
cat__diag_3_group_Injury,0.033272840665727915,1.033832572331794,0.033272840665727915
cat__diag_2_group_Injury,0.030254724408441527,1.030717049308219,0.030254724408441527
num__number_emergency,0.029941687364340577,1.0303944471856408,0.029941687364340577
cat__rosiglitazone_Up,0.026931875210486,1.0272978159321189,0.026931875210486
cat__insulin_Down,0.026403106055705887,1.0267547561235721,0.026403106055705887
num__num_lab_procedures,0.022038575903112385,1.0222832192082356,0.022038575903112385
cat__diag_3_group_Diabetes,0.020772992956795248,1.0209902533500483,0.020772992956795248
cat__diag_1_group_Diabetes,0.019070229394020494,1.0192532276404336,0.019070229394020494
cat__medical_specialty_Neurology,0.018556229963366217,1.018729466679683,0.018556229963366217
cat__payer_code_PO,0.01514451084408175,1.0152597700615336,0.01514451084408175
cat__race_Asian,0.004703012699099521,1.0047140892208568,0.004703012699099521
cat__pioglitazone_Up,0.004611797277275991,1.004622447981007,0.004611797277275991
cat__admission_type_id_label_Elective,-0.0005078132442436611,0.9994923156710793,0.0005078132442436611
cat__diag_3_group_Genitourinary,-0.0023622596022927446,0.9976405283372105,0.0023622596022927446
num__number_outpatient,-0.003043356858114087,0.9969612694580019,0.003043356858114087
cat__diag_3_group_Respiratory,-0.007056790887721149,0.9929680497949155,0.007056790887721149
cat__glyburide_Up,-0.009478863518253744,0.9905659193001057,0.009478863518253744
cat__rosiglitazone_Steady,-0.011514374673425663,0.9885516620384734,0.011514374673425663
cat__diag_3_group_Neoplasms,-0.013370547258090983,0.9867184414581084,0.013370547258090983
cat__race_Hispanic,-0.020800169322492346,0.9794146621111128,0.020800169322492346
cat__admission_source_id_label_Physician Referral,-0.021162711143076173,0.9790596476940796,0.021162711143076173
cat__insulin_Up,-0.02494241476922939,0.9753660770918132,0.02494241476922939
cat__payer_code_HM,-0.027624761502805423,0.97275331281731,0.027624761502805423
cat__race_Caucasian,-0.02936362459721683,0.9710632977599255,0.02936362459721683
cat__max_glu_serum_>300,-0.031430886302092634,0.9690579293163234,0.031430886302092634
cat__chlorpropamide_Down,-0.03237486199140898,0.9681435938126496,0.03237486199140898
cat__glyburide-metformin_No,-0.03276046353291431,0.9677703481171595,0.03276046353291431
cat__diag_2_group_Other,-0.03369731607109694,0.9668641145800255,0.03369731607109694
cat__diag_1_group_Genitourinary,-0.03678449344581561,0.9638838362519814,0.03678449344581561
cat__medical_specialty_Perinatology,-0.043530586838578224,0.9574032697038461,0.043530586838578224
cat__metformin_No,-0.04733615882812044,0.9537667265900862,0.04733615882812044
cat__diabetesMed_Yes,-0.04779664226587096,0.9533276339142254,0.04779664226587096
cat__gender_Unknown/Invalid,-0.04884376474295529,0.9523299055837732,0.04884376474295529
cat__payer_code_SI,-0.04901832025697583,0.9521636856553114,0.04901832025697583
cat__race_AfricanAmerican,-0.04936905479212319,0.9518297875258643,0.04936905479212319
cat__diag_2_group_Digestive,-0.05252320289632579,0.948832305142779,0.05252320289632579
cat__glyburide_No,-0.052633123590151376,0.9487280145694247,0.052633123590151376
cat__medical_specialty_Cardiology,-0.05313263265086225,0.9482542346685247,0.05313263265086225
cat__medical_specialty_Speech,-0.05411071922409464,0.9473272133610348,0.05411071922409464
cat__race_Missing,-0.05455648722773953,0.9469050193076277,0.05455648722773953
cat__diag_3_group_Other,-0.05909112401377045,0.94262086984629,0.05909112401377045
num__num_procedures,-0.05960055623179909,0.9421407907000788,0.05960055623179909
cat__medical_specialty_Osteopath,-0.06046739706962799,0.9413244584538966,0.06046739706962799
cat__diag_1_group_Other,-0.06146876298805171,0.9403823200144102,0.06146876298805171
cat__repaglinide_Steady,-0.0629018920447762,0.9390355960323011,0.0629018920447762
cat__age_[20-30),-0.06512657957899932,0.9369488572791085,0.06512657957899932
cat__admission_source_id_label_Extramural Birth,-0.06914143137471081,0.9331946877369334,0.06914143137471081
cat__diag_2_group_Circulatory,-0.06994228788006744,0.9324476318826938,0.06994228788006744
cat__medical_specialty_SportsMedicine,-0.0706567542457749,0.9317816673448907,0.0706567542457749
cat__medical_specialty_Proctology,-0.07119873719295411,0.9312767943993177,0.07119873719295411
cat__miglitol_Down,-0.07246128434616878,0.9301017554608141,0.07246128434616878
cat__glimepiride_No,-0.07293226345011068,0.929663800111457,0.07293226345011068
cat__age_[40-50),-0.07326565864115889,0.9293539063326265,0.07326565864115889
cat__diag_3_group_Musculoskeletal,-0.07382798375165005,0.9288314542023056,0.07382798375165005
cat__pioglitazone_Down,-0.0744064384915646,0.9282943226131748,0.0744064384915646
cat__glyburide_Steady,-0.07443382650505488,0.9282688988238993,0.07443382650505488
cat__miglitol_Up,-0.07578486072466091,0.9270156225767735,0.07578486072466091
cat__pioglitazone_No,-0.07705747792181722,0.9258366369112856,0.07705747792181722
cat__diag_2_group_Genitourinary,-0.07717997641591037,0.9257232302637013,0.07717997641591037
cat__medical_specialty_Pediatrics,-0.08060347569324411,0.9225594361673469,0.08060347569324411
cat__payer_code_BC,-0.09016383386254219,0.9137814646600354,0.09016383386254219
cat__glipizide_Up,-0.09029007252202073,0.9136661173936756,0.09029007252202073
cat__diag_3_group_Circulatory,-0.09234469513507096,0.91179080551691,0.09234469513507096
cat__diag_2_group_Musculoskeletal,-0.09422330702420144,0.9100795124003522,0.09422330702420144
num__admission_source_id,-0.09609982498846413,0.9083733331850662,0.09609982498846413
cat__metformin_Steady,-0.09764964575348642,0.9069666076986613,0.09764964575348642
cat__diag_2_group_Missing,-0.10495305685080072,0.9003667876466769,0.10495305685080072
cat__acetohexamide_Steady,-0.10510998357773049,0.9002255071192905,0.10510998357773049
cat__medical_specialty_Pediatrics-EmergencyMedicine,-0.10792056573912673,0.8976989016470979,0.10792056573912673
cat__gender_Male,-0.10965192474901178,0.896146007262323,0.10965192474901178
cat__medical_specialty_Dermatology,-0.11390638418542316,0.8923414892477219,0.11390638418542316
cat__medical_specialty_Hospitalist,-0.11641308990865662,0.8901074529351621,0.11641308990865662
cat__medical_specialty_Psychiatry-Addictive,-0.11707537256824208,0.8895181453695464,0.11707537256824208
cat__medical_specialty_SurgicalSpecialty,-0.12146101784496255,0.8856255762694933,0.12146101784496255
cat__payer_code_CP,-0.12184895918014686,0.8852820721349963,0.12184895918014686
cat__change_No,-0.12350208043241963,0.8838198025147955,0.12350208043241963
cat__payer_code_OT,-0.12689805048769415,0.8808234675427472,0.12689805048769415
cat__gender_Female,-0.12808162269745535,0.8797815660693011,0.12808162269745535
cat__insulin_Steady,-0.12841409324821096,0.8794891132261583,0.12841409324821096
cat__medical_specialty_Ophthalmology,-0.13199170994869092,0.8763482600213001,0.13199170994869092
cat__glipizide_Steady,-0.13655098470954505,0.8723618420106433,0.13655098470954505
cat__race_Other,-0.13719098896223722,0.871803705345841,0.13719098896223722
cat__age_[50-60),-0.13830278927998477,0.8708349723278501,0.13830278927998477
cat__payer_code_OG,-0.13899581711436956,0.8702316685301801,0.13899581711436956
cat__admission_source_id_label_Transfer from hospital inpt/same fac reslt in a sep claim,-0.1393900352647956,0.8698886750229449,0.1393900352647956
cat__pioglitazone_Steady,-0.13972519306545816,0.8695971738999693,0.13972519306545816
cat__diag_1_group_Neoplasms,-0.13982395377647755,0.8695112961055204,0.13982395377647755
cat__age_[30-40),-0.14477527884569102,0.865216703762227,0.14477527884569102
cat__glipizide_No,-0.14536747277313009,0.8647044793673977,0.14536747277313009
cat__glyburide_Down,-0.150031498587581,0.8606808657664566,0.150031498587581
cat__medical_specialty_Psychology,-0.15250827537418174,0.8585517890896879,0.15250827537418174
cat__admission_source_id_label_Transfer from a hospital,-0.15269703677776225,0.858389742943443,0.15269703677776225
cat__medical_specialty_Obsterics&Gynecology-GynecologicOnco,-0.15365194580505936,0.8575704500663053,0.15365194580505936
cat__medical_specialty_Surgery-PlasticwithinHeadandNeck,-0.1565283725919243,0.8551072557495053,0.1565283725919243
cat__nateglinide_Down,-0.15936203645270283,0.8526875990877004,0.15936203645270283
cat__insulin_No,-0.15962391024064657,0.8524643317913969,0.15962391024064657
cat__glimepiride_Steady,-0.16088910216750282,0.8513864827875876,0.16088910216750282
cat__change_Ch,-0.1630752317609767,0.8495272745775809,0.1630752317609767
cat__glimepiride_Up,-0.170770088935723,0.8430153697536735,0.170770088935723
cat__diag_1_group_Digestive,-0.17199522978006987,0.8419831896039122,0.17199522978006987
cat__diag_3_group_Missing,-0.17273775355749463,0.8413582291181635,0.17273775355749463
cat__miglitol_Steady,-0.1793260268400532,0.8358333508641879,0.1793260268400532
cat__acetohexamide_No,-0.18146732864636592,0.8340454942536368,0.18146732864636592
cat__acarbose_No,-0.18811753511391816,0.8285173216318977,0.18811753511391816
cat__medical_specialty_Surgery-Pediatric,-0.2169491865363718,0.8049708716239055,0.2169491865363718
cat__age_[10-20),-0.21757357396145696,0.8044684148142844,0.21757357396145696
cat__medical_specialty_Surgery-Thoracic,-0.22256367766153615,0.8004640334495218,0.22256367766153615
cat__repaglinide_No,-0.22703209185816792,0.7968952080317883,0.22703209185816792
cat__medical_specialty_Orthopedics-Reconstructive,-0.22823096279552654,0.7959404059833327,0.22823096279552654
cat__diag_2_group_Respiratory,-0.22908563981188898,0.7952604246355517,0.22908563981188898
cat__diabetesMed_No,-0.23878066993828537,0.7875876050683811,0.23878066993828537
cat__medical_specialty_Dentistry,-0.24321359230912504,0.7841040172965652,0.24321359230912504
cat__medical_specialty_Pediatrics-Pulmonology,-0.24602461268575943,0.781902979956303,0.24602461268575943
cat__admission_type_id_label_Unknown,-0.2475263728724993,0.7807296304564131,0.2475263728724993
cat__admission_source_id_label_Transfer from a Skilled Nursing Facility (SNF),-0.26889241440423045,0.7642254708781191,0.26889241440423045
cat__admission_source_id_label_Clinic Referral,-0.2701211914129219,0.7632869849031266,0.2701211914129219
cat__glyburide-metformin_Steady,-0.28236683648648075,0.7539970401695354,0.28236683648648075
cat__medical_specialty_PhysicianNotFound,-0.2852006767879882,0.7518633576555398,0.2852006767879882
cat__metformin-rosiglitazone_No,-0.28657731222374333,0.7508290280253046,0.28657731222374333
cat__citoglipton_No,-0.28657731222374333,0.7508290280253046,0.28657731222374333
cat__examide_No,-0.28657731222374333,0.7508290280253046,0.28657731222374333
cat__glimepiride-pioglitazone_No,-0.28657731222374333,0.7508290280253046,0.28657731222374333
cat__metformin-pioglitazone_No,-0.28657731222374333,0.7508290280253046,0.28657731222374333
cat__chlorpropamide_Up,-0.30776751074198305,0.7350861977891449,0.30776751074198305
cat__diag_1_group_Respiratory,-0.3169760221384873,0.7283482191490577,0.3169760221384873
cat__metformin_Up,-0.31725047543628954,0.7281483490071282,0.31725047543628954
cat__medical_specialty_Endocrinology,-0.32473863799323827,0.7227162195212679,0.32473863799323827
cat__tolbutamide_Steady,-0.328601540697952,0.7199298223376353,0.328601540697952
cat__max_glu_serum_tested_Tested,-0.3313830832376997,0.7179300893716507,0.3313830832376997
cat__medical_specialty_Surgery-Neuro,-0.3461590450008016,0.7073999697303229,0.3461590450008016
cat__troglitazone_Steady,-0.3570610549488305,0.6997297744648157,0.3570610549488305
cat__chlorpropamide_Steady,-0.3586084102980315,0.6986478811079044,0.3586084102980315
cat__medical_specialty_ObstetricsandGynecology,-0.36041676284281904,0.6973856210837364,0.36041676284281904
cat__admission_source_id_label_Transfer from critial access hospital,-0.36159225829959696,0.6965663290858816,0.36159225829959696
cat__glyburide-metformin_Up,-0.3728178380188159,0.688790692893822,0.3728178380188159
cat__medical_specialty_Pediatrics-Neurology,-0.39966246489993346,0.6705463407685137,0.39966246489993346
cat__age_[0-10),-0.4068690717479917,0.6657313476373712,0.4068690717479917
cat__glipizide-metformin_Steady,-0.411978755803064,0.662338346748938,0.411978755803064
cat__medical_specialty_Hematology,-0.41402361271824684,0.6609853434209618,0.41402361271824684
cat__rosiglitazone_Down,-0.4142055912059256,0.6608650692517759,0.4142055912059256
cat__payer_code_MP,-0.41557300318531626,0.6599620120056809,0.41557300318531626
cat__medical_specialty_Surgery-Colon&Rectal,-0.42144543403633217,0.6560977880248905,0.42144543403633217
cat__medical_specialty_Pathology,-0.44493812362984897,0.6408639291392069,0.44493812362984897
cat__max_glu_serum_Missing,-0.4543563728036585,0.6348564473551898,0.4543563728036585
cat__tolazamide_Steady,-0.4621144704594537,0.62995022512278,0.4621144704594537
cat__medical_specialty_Surgery-Cardiovascular/Thoracic,-0.46850846369214655,0.6259351774193077,0.46850846369214655
cat__payer_code_WC,-0.47010955377715513,0.624933800673991,0.47010955377715513
cat__medical_specialty_Surgery-Maxillofacial,-0.47311043130957947,0.6230612619072782,0.47311043130957947
cat__acarbose_Steady,-0.5557208786603206,0.5736585738809513,0.5557208786603206
cat__admission_type_id_label_Trauma Center,-0.5684498820528836,0.5664027496236488,0.5684498820528836
cat__A1Cresult_tested_Tested,-0.5755848882861343,0.5623758455509437,0.5755848882861343
cat__medical_specialty_Pediatrics-CriticalCare,-0.6122835969218878,0.5421114903616772,0.6122835969218878
cat__repaglinide_Down,-0.6232599035391788,0.5361936458752069,0.6232599035391788
cat__nateglinide_Up,-0.6292198001068342,0.5330074912127846,0.6292198001068342
cat__A1Cresult_Missing,-0.7164747384344077,0.48847121308642794,0.7164747384344077
cat__medical_specialty_Gynecology,-0.7477046080110856,0.4734520645028944,0.7477046080110856
cat__medical_specialty_Otolaryngology,-0.7599420708994528,0.4676935192900902,0.7599420708994528
cat__medical_specialty_Surgery-Cardiovascular,-0.8713104120532884,0.41840290963824894,0.8713104120532884
cat__medical_specialty_Pediatrics-Endocrinology,-1.3822016383747546,0.2510252773430868,1.3822016383747546
